AP Name,Ethernet MAC Address,BaseRadio MAC Address,IP Address,Controller IP,Map Location,AP Group Name,Operational Status,Admin Status,Maintenance Mode,Client Count,AP Location,AP Model,Software Version,AP Mode,POE Status,AP Serial Number,AP Uptime,Upgrade Group
WAP1846,70:e4:22:8d:02:4c,70:e4:22:8b:1f:b0,fda7:6daa:70e8:4501:72e4:22ff:fe8d:024c,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKLH,198 d 9 h 50 m 33 s, 
WAP1847,70:e4:22:88:49:80,70:e4:22:95:87:90,fda7:6daa:70e8:4501:72e4:22ff:fe88:4980,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKJU,198 d 22 h 54 m 11 s, 
WAP1848,70:e4:22:91:51:18,70:e4:22:97:74:10,fda7:6daa:70e8:4501:72e4:22ff:fe91:5118,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKAU,192 d 19 h 13 m 29 s, 
WAP1849,84:b2:61:d4:ec:40,70:e4:22:83:2a:50,fda7:6daa:70e8:4501:86b2:61ff:fed4:ec40,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKK3,198 d 6 h 29 m 37 s, 
WAP1850,84:b2:61:d4:eb:68,70:e4:22:83:27:40,fda7:6daa:70e8:4501:86b2:61ff:fed4:eb68,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,1,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKGN,198 d 19 h 4 m 53 s, 
WAP1851,84:b2:61:d0:b6:ec,70:e4:22:89:42:a0,fda7:6daa:70e8:4501:86b2:61ff:fed0:b6ec,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NHT2,198 d 20 h 26 m 50 s, 
WAP1852,84:b2:61:bf:ba:88,70:e4:22:88:da:30,fda7:6daa:70e8:4501:86b2:61ff:febf:ba88,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKBK,198 d 8 h 47 m 30 s, 
WAP1853,70:e4:22:8d:03:34,70:e4:22:8b:23:80,fda7:6daa:70e8:4501:72e4:22ff:fe8d:0334,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKJS,198 d 17 h 56 m 34 s, 
WAP1854,70:e4:22:8d:03:1c,70:e4:22:8b:22:f0,fda7:6daa:70e8:4501:72e4:22ff:fe8d:031c,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,0,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NKAY,198 d 21 h 31 m 58 s, 
WAP1855,70:e4:22:80:ce:f4,70:e4:22:88:f8:20,fda7:6daa:70e8:4501:72e4:22ff:fe80:cef4,172.16.108.162,Unassigned,default-group,Registered,ENABLE,No,1,default location,AIR-CAP3702I-A-K9,8.5.131.0,Local,Normal,FCW1941NHVP,199 d 0 h 33 m 32 s, 
WAP1856,30:f7:0d:f6:fc:61,88:75:56:ae:7f:50,fda7:6daa:70e8:4505:32f7:0dff:fef6:fc61,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1633GSHN,199 d 1 h 57 m 54 s, 
WAP1857,60:73:5c:89:41:82,88:75:56:af:62:10,fda7:6daa:70e8:4505:6273:5cff:fe89:4182,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1634GS58,199 d 1 h 56 m 53 s, 
WAP1858,2c:54:2d:69:07:09,a4:18:75:59:d1:b0,fda7:6daa:70e8:4505:2e54:2dff:fe69:0709,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,4,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1634R1XU,198 d 23 h 59 m 19 s, 
WAP1859,2c:54:2d:68:ff:8b,a4:18:75:59:5c:50,fda7:6daa:70e8:4505:2e54:2dff:fe68:ff8b,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1634GS4Y,198 d 20 h 1 m 42 s, 
WAP1860,30:f7:0d:f6:fd:91,88:75:56:ae:91:c0,fda7:6daa:70e8:4505:32f7:0dff:fef6:fd91,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,5,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1633GSFE,198 d 18 h 39 m 50 s, 
WAP1861,30:f7:0d:de:26:43,88:75:56:86:7b:70,fda7:6daa:70e8:4505:32f7:0dff:fede:2643,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,1,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1634GS6V,199 d 0 h 45 m 16 s, 
WAP1862,30:f7:0d:de:12:7c,88:75:56:86:79:50,fda7:6daa:70e8:4505:32f7:0dff:fede:127c,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3602I-A-K9,8.5.131.0,Local,Normal,FTX1634GS55,198 d 22 h 9 m 44 s, 
WAP1863,18:80:90:2e:84:00,18:80:90:4b:d9:e0,fda7:6daa:70e8:4508:1a80:90ff:fe2e:8400,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,3,default location,AIR-CAP3702I-B-K9,8.5.131.0,Local,Normal,FCW2122J4LC,197 d 18 h 8 m 28 s, 
WAP1864,18:80:90:58:34:64,18:80:90:6c:0f:60,fda7:6daa:70e8:4508:1a80:90ff:fe58:3464,172.16.108.162,Unassigned,CWI-Dorm,Registered,ENABLE,No,2,default location,AIR-CAP3702I-B-K9,8.5.131.0,Local,Normal,FCW2122J3ZY,197 d 21 h 52 m 49 s, 
